,0
0,0015 富邦
1,0050 元大台灣50
2,0051 元大中型100
3,0052 富邦科技
4,0053 元大電子
5,0054 元大台商50
6,0055 元大MSCI金融
7,0056 元大高股息
8,0057 富邦摩台
9,0058 富邦發達
10,0059 富邦金融
11,0060 新台灣
12,0061 元大寶滬深
13,006201 元大富櫃50
14,006201 寶富櫃
15,006202 寶富盈
16,006203 元大MSCI台灣
17,006204 永豐臺灣加權
18,006205 富邦上証
19,006206 元大上證50
20,006207 FH滬深
21,006208 富邦台50
22,00625K 富邦上証+R
23,00631L 元大台灣50正2
24,00632R 元大台灣50反1
25,00633L 富邦上証正2
26,00634R 富邦上証反1
27,00635U 元大S&P黃金
28,00636 國泰中國A50
29,00636K 國泰中國A50+U
30,00637L 元大滬深300正2
31,00638R 元大滬深300反1
32,00639 富邦深100
33,00640L 富邦日本正2
34,00641R 富邦日本反1
35,00642U 元大S&P石油
36,00643 群益深証中小
37,00643K 群益深証中小+R
38,00645 富邦日本
39,00646 元大S&P500
40,00647L 元大S&P500正2
41,00648R 元大S&P500反1
42,00649 FH香港
43,00650L FH香港正2
44,00651R FH香港反1
45,00652 富邦印度
46,00653L 富邦印度正2
47,00654R 富邦印度反1
48,00655L 國泰中國A50正2
49,00656R 國泰中國A50反1
50,00657 國泰日經225
51,00657K 國泰日經225+U
52,00658L 國泰日本正2
53,00659R 國泰日本反1
54,00660 元大歐洲50
55,00661 元大日經225
56,00662 富邦NASDAQ
57,00663L 國泰臺灣加權正2
58,00664R 國泰臺灣加權反1
59,00665L 富邦恒生國企正2
60,00666R 富邦恒生國企反1
61,00667 元大韓國
62,00668 國泰美國道瓊
63,00668K 國泰美國道瓊+U
64,00669R 國泰美國道瓊反1
65,00670L 富邦NASDAQ正2
66,00671R 富邦NASDAQ反1
67,00672L 元大S&P原油正2
68,00673R 元大S&P原油反1
69,00674R 元大S&P黃金反1
70,00675L 富邦臺灣加權正2
71,00676R 富邦臺灣加權反1
72,00677U 富邦VIX
73,00678 群益NBI生技
74,00679B 元大美債20年
75,00680L 元大美債20正2
76,00681R 元大美債20反1
77,00682U 元大美元指數
78,00683L 元大美元指數正2
79,00684R 元大美元指數反1
80,00685L 群益臺灣加權正2
81,00686R 群益臺灣加權反1
82,00687B 國泰20年美債
83,00688L 國泰20年美債正2
84,00689R 國泰20年美債反1
85,00690 兆豐藍籌30
86,00691R 兆豐藍籌30反1
87,00692 富邦公司治理
88,00693U 華頓S&P黃豆
89,00694B 富邦美債1-3
90,00695B 富邦美債7-10
91,00696B 富邦美債20年
92,00697B 元大美債7-10
93,00698L 元大美債7-10正2
94,00699R 元大美債7-10反1
95,00700 富邦恒生國企
96,00701 國泰臺灣低波動30
97,00702 國泰標普低波高息
98,00703 台新MSCI中國
99,00704L 台新MSCI台灣正2
100,00705R 台新MSCI台灣反1
101,00706L 元大S&P日圓正2
102,00707R 元大S&P日圓反1
103,00708L 元大S&P黃金正2
104,00709 富邦歐洲
105,00710B FH彭博高收益債
106,00711B FH彭博新興債
107,00712 FH富時不動產
108,00713 元大台灣高息低波
109,00714 群益道瓊美國地產
110,00715L 華頓S&P布蘭特正2
111,00716R 華頓S&P布蘭特反1
112,00717 富邦美國特別股
113,00718B 富邦中國政策債
114,00719B 元大美債1-3
115,00720B 元大投資級公司債
116,00721B 元大中國債3-5
117,00722B 群益15年IG電信債
118,00723B 群益15年IG科技債
119,00724B 群益10年IG金融債
120,00725B 國泰投資級公司債
121,00726B 國泰5Y+新興債
122,00727B 國泰1-5Y高收債
123,00728 第一金工業30
124,00729R 第一金工業30反1
125,00730 富邦臺灣優質高息
126,00731 FH富時高息低波
127,00732 國泰RMB短期報酬
128,00733 富邦臺灣中小
129,00734B 台新JPM新興債
130,00735 國泰臺韓科技
131,00736 國泰新興市場
132,00737 國泰AI+Robo
133,00738U 元大道瓊白銀
134,00739 元大MSCIA股
135,00740B 富邦全球投等債
136,00741B 富邦全球高收債
137,00742 新光內需收益
138,00743 國泰中國A150
139,00744B 國泰中國政金債5+
140,00745B 富邦中政債0-1
141,00746B 富邦A級公司債
142,00747B FH中國政策債
143,00748B 凱基中國債3-10
144,00749B 凱基新興債10+
145,00750B 凱基科技債10+
146,00751B 元大AAA至A公司債
147,00752 中信中國50
148,00753L 中信中國50正2
149,00754B 群益AAA-AA公司債
150,00755B 群益15年IG公用債
151,00756B 群益15年EM主權債
152,00757 統一FANG+
153,00758B FH能源債
154,00759B FH製藥債
155,00760B FH新興企業債
156,00761B 國泰A級公司債
